LOR-Schlüssel (Bezirksregion),Year,District,Code,Location,Total,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local
011001,2021,Mitte,,Tiergarten Süd,"25,325",231,172,"2,026",554,904,"9,799",79,"1,339","1,551",158,79,26,"1,702",290,"1,320","6,295"
011002,2021,Mitte,,Regierungsviertel,"46,049",255,139,"3,131",858,"1,222","15,711",54,"1,214","1,902",124,31,23,"3,039",835,"1,330","7,817"
011003,2021,Mitte,,Alexanderplatz,"26,687",261,157,"2,394",769,735,"10,793",69,"1,051","1,259",130,95,22,"2,197",535,"1,451","5,454"
011004,2021,Mitte,,Brunnenstraße Süd,"10,867",134,74,828,201,268,"4,727",61,764,"1,157",102,99,48,"1,368",326,403,"2,148"
012005,2021,Mitte,,Moabit West,"13,223",105,64,"1,243",370,498,"4,193",85,658,851,151,110,28,"1,243",217,"1,142","2,957"
012006,2021,Mitte,,Moabit Ost,"22,959",156,91,"1,754",437,670,"7,651",74,622,"1,050",173,108,36,"1,387",183,"1,334","4,280"
013007,2021,Mitte,,Osloer Straße,"14,759",206,114,"1,668",517,639,"6,032",132,900,578,114,71,29,"1,262",259,562,"3,513"
013008,2021,Mitte,,Brunnenstraße Nord,"15,793",183,97,"1,764",608,568,"5,964",148,911,664,160,94,25,"1,616",524,845,"3,849"
014009,2021,Mitte,,Parkviertel,"12,099",123,68,"1,384",397,648,"4,615",86,"1,029",513,119,86,18,"1,093",99,434,"3,063"
014010,2021,Mitte,,Wedding Zentrum,"13,683",225,134,"1,587",517,683,"4,787",54,776,729,86,77,21,"1,239",288,"1,005","3,582"
019900,2021,Mitte,,"Bezirk (Mi), nicht zuzuordnen","18,790",195,117,"1,752",529,671,"7,033",90,946,947,130,92,28,"1,553",334,995,"4,111"
021001,2021,Friedrichshain-Kreuzberg,,Südliche  Friedrichstadt,"22,238",329,168,"1,653",643,606,"8,741",79,"1,601","1,005",141,198,69,"1,747",282,"2,299","4,330"
022002,2021,Friedrichshain-Kreuzberg,,Tempelhofer Vorstadt,"15,406",175,108,"1,214",402,444,"7,101",102,"1,273","1,126",94,79,39,"1,410",271,770,"3,260"
023003,2021,Friedrichshain-Kreuzberg,,Nördliche Luisenstadt,"22,392",403,251,"1,873",654,565,"10,343",74,"1,878","1,278",177,192,98,"1,971",334,"2,379","4,439"
